model,check,correct,group_A_mean,group_B_mean
Qwen3.5-122B-A10B,E > I on Extraversion,True,4.45,2.3146
Qwen3.5-122B-A10B,J > P on Conscientiousness,True,4.8052125,3.1510249999999997
Qwen3.5-122B-A10B,F > T on Agreeableness,True,4.6187375,3.5375
Qwen3.5-122B-A10B,N > S on Openness,True,4.2437625,2.8145875
Qwen3.5-397B-A17B,E > I on Extraversion,True,4.34375,2.154175
Qwen3.5-397B-A17B,J > P on Conscientiousness,True,4.765625,3.04895
Qwen3.5-397B-A17B,F > T on Agreeableness,True,4.6291875,3.4614625
Qwen3.5-397B-A17B,N > S on Openness,True,4.1166625,2.7677
glm-4.7,E > I on Extraversion,True,4.2968874999999995,1.9843625
glm-4.7,J > P on Conscientiousness,True,4.677075,2.7083375
glm-4.7,F > T on Agreeableness,True,4.7083375,3.0624875
glm-4.7,N > S on Openness,True,4.1823,2.7031125
glm-5.1,E > I on Extraversion,True,4.3385625,2.2239625
glm-5.1,J > P on Conscientiousness,True,4.729175,2.9479125
glm-5.1,F > T on Agreeableness,True,4.5104125,3.0885249999999997
glm-5.1,N > S on Openness,True,4.09895,2.7395875
